# Cosima universal isotope store
# VN is followed by the volume name in which the isotope was produced
# RP is followed by the isotope ID (1000*Z+A), the excitation in keV, and a value (e.g. the number of produced isotopes, activation in Bq)

TT 0

VN AllArgon
RP 14031       0.00   2.75318e+01
RP 14032       0.00   9.95552e-02
RP 14033       0.00   3.76752e+00
RP 14034       0.00   2.02866e+00
RP 14035       0.00   1.15924e+00
RP 14036       0.00   1.44904e+00
RP 14037       0.00   5.79618e-01
RP 15029       0.00   2.31847e+00
RP 15030       0.00   2.63726e+01
RP 15032       0.00   8.93551e+01
RP 15033       0.00   6.11469e+01
RP 15034       0.00   3.56465e+01
RP 15035       0.00   2.34745e+01
RP 15036       0.00   1.30414e+01
RP 15037       0.00   7.53503e+00
RP 15038       0.00   9.27388e+00
RP 16030       0.00   2.89809e-01
RP 16031       0.00   2.89809e-01
RP 16035       0.00   1.48139e+02
RP 16037       0.00   5.41943e+01
RP 16038       0.00   5.30350e+01
RP 16039       0.00   1.44904e+00
RP 17034     146.36   6.55693e-04
RP 17034       0.00   9.85350e+00
RP 17036       0.00   3.79348e-04
RP 17038       0.00   2.31847e+02
RP 17039       0.00   2.45758e+02
RP 17040       0.00   3.99936e+01
RP 18034       0.00   2.89809e-01
RP 18035       0.00   1.44904e+00
RP 18037       0.00   1.02808e+02
RP 18039       0.00   3.45214e+00
RP 18041       0.00   6.72357e+01
RP 19037       0.00   8.69427e-01
RP 19038       0.00   1.07229e+01
RP 19040       0.00   1.17499e-08
VN OuterACD
RP 2006       0.00   5.79618e-01
RP 4010       0.00   1.33030e-07
RP 6010       0.00   5.79618e-01
RP 6011       0.00   2.89809e-01
RP 8015       0.00   2.89809e-01
RP 8020       0.00   2.89809e-01
RP 9018       0.00   8.69427e-01
RP 9020       0.00   2.89809e-01
RP 11022       0.00   2.71029e-01
RP 11024       0.00   2.89809e-01
RP 11025       0.00   2.89809e-01
RP 12027       0.00   2.89809e-01
RP 12029       0.00   2.89809e-01
RP 13026       0.00   8.40480e-07
RP 13028       0.00   1.15924e+00
RP 13029       0.00   5.79618e-01
RP 14027       0.00   5.79618e-01
RP 14031       0.00   1.73885e+00
RP 14032       0.00   2.61987e-03
RP 14034       0.00   2.89809e-01
RP 15030       0.00   2.89809e+00
RP 15032       0.00   4.92922e+00
RP 15033       0.00   2.60816e+00
RP 15034       0.00   1.73885e+00
RP 15035       0.00   1.15924e+00
RP 15036       0.00   5.79618e-01
RP 16035       0.00   7.94091e+00
RP 16037       0.00   2.89809e+00
RP 16038       0.00   1.44904e+00
RP 17034       0.00   8.69427e-01
RP 17036       0.00   1.86674e-05
RP 17038       0.00   8.69427e+00
RP 17039       0.00   1.42006e+01
RP 17040       0.00   1.73885e+00
RP 18037       0.00   4.05439e+00
RP 18039       0.00   1.61084e-01
RP 18041       0.00   1.15924e+00
RP 19038       0.00   5.79618e-01
RP 19040       0.00   6.43829e-10
VN Shield
RP 2006       0.00   1.15924e+00
RP 3008       0.00   5.79618e-01
RP 3009       0.00   2.89809e-01
RP 4007       0.00   5.74638e-01
RP 4008       0.00   5.79618e-01
RP 4010       0.00   3.99089e-07
RP 6011       0.00   2.89809e-01
RP 7016       0.00   2.89809e-01
RP 7017       0.00   2.89809e-01
RP 8019       0.00   2.89809e-01
RP 9018       0.00   5.79618e-01
RP 9021       0.00   2.89809e-01
RP 11022       0.00   6.77571e-02
RP 11024       0.00   5.79618e-01
RP 12027       0.00   5.79618e-01
RP 12028       0.00   2.89809e-01
RP 13026       0.00   2.80160e-07
RP 13028       0.00   5.79618e-01
RP 13029       0.00   2.89809e-01
RP 14031       0.00   2.89809e-01
RP 15030       0.00   5.79618e-01
RP 15032       0.00   5.79618e-01
RP 15033       0.00   8.69387e-01
RP 15035       0.00   2.89809e-01
RP 16035       0.00   8.21474e-01
RP 17036       0.00   1.33339e-06
RP 17039       0.00   5.79618e-01
RP 18037       0.00   2.89599e-01
RP 18039       0.00   4.47448e-03
RP 19040       0.00   3.21915e-10
RP 19042       0.00   2.89809e-01
RP 19043       0.00   5.79618e-01
RP 19044       0.00   5.79618e-01
RP 20041       0.00   1.96935e-06
RP 21043       0.00   2.89809e-01
RP 21044     146.19   3.36551e-03
RP 21044       0.00   2.93186e-01
RP 21045      12.40   2.01462e-04
RP 21046       0.00   5.51372e-01
RP 21047       0.00   2.89809e-01
RP 21049       0.00   2.89809e-01
RP 21050       0.00   2.89809e-01
RP 22044       0.00   3.37904e-03
RP 22045       0.00   8.69427e-01
RP 23047       0.00   2.89809e-01
RP 23049       0.00   4.65716e-01
RP 23050       0.00   0.00000e+00
RP 23052       0.00   8.69427e-01
RP 23055       0.00   2.89809e-01
RP 24049       0.00   2.89809e-01
RP 24050       0.00   0.00000e+00
RP 24051       0.00   1.44889e+00
RP 24055       0.00   5.79618e-01
RP 25051       0.00   2.89809e-01
RP 25052       0.00   2.89809e-01
RP 25053       0.00   2.14839e-07
RP 25054       0.00   4.83006e-01
RP 25056       0.00   2.89809e-01
RP 25057       0.00   2.89809e-01
RP 26055       0.00   1.93909e-01
RP 26059       0.00   1.15532e+00
RP 26063       0.00   2.89809e-01
RP 27055       0.00   2.89809e-01
RP 27056       0.00   2.77947e-01
RP 27057       0.00   1.75652e-01
RP 27058       0.00   5.63343e-01
RP 27060       0.00   7.14185e-02
RP 27062       0.00   2.89809e-01
RP 27063       0.00   5.79618e-01
RP 27064       0.00   2.89809e-01
RP 28056       0.00   2.89809e-01
RP 28059       0.00   7.92923e-06
RP 28063       0.00   9.89072e-03
RP 28065       0.00   5.79618e-01
RP 29062       0.00   5.79618e-01
RP 29064       0.00   2.89809e-01
RP 29066       0.00   2.89809e-01
RP 29067       0.00   8.69427e-01
RP 30063       0.00   2.89809e-01
RP 30065       0.00   9.35775e-01
RP 30067      93.31   1.10542e+00
RP 30069       0.00   8.69427e-01
RP 30070       0.00   0.00000e+00
RP 31066       0.00   5.79618e-01
RP 31067       0.00   1.15924e+00
RP 31068       0.00   1.22133e+00
RP 31070       0.00   1.44904e+00
RP 31072       0.00   5.79618e-01
RP 31073       0.00   5.79618e-01
RP 31074       0.00   2.89809e-01
RP 31075       0.00   2.89809e-01
RP 32067       0.00   5.79618e-01
RP 32068       0.00   3.51938e-01
RP 32071       0.00   1.15924e+00
RP 32073      66.73   1.12406e+00
RP 32075     139.69   1.87057e-03
RP 32075       0.00   2.89809e-01
RP 32077       0.00   5.79618e-01
RP 32080       0.00   2.89809e-01
RP 33072       0.00   5.79617e-01
RP 33073       0.00   5.54848e-01
RP 33074       0.00   8.69426e-01
RP 33075     303.92   1.16477e-01
RP 33076       0.00   8.69427e-01
RP 33077     475.48   1.90110e-01
RP 33077       0.00   8.69427e-01
RP 33078       0.00   2.89809e-01
RP 33080       0.00   5.79618e-01
RP 34072       0.00   2.89809e-01
RP 34075       0.00   1.78359e+00
RP 34077     161.92   2.10983e-02
RP 34079       0.00   2.72372e-06
RP 34081       0.00   8.69427e-01
RP 35076       0.00   2.89809e-01
RP 35077     105.86   2.63111e-02
RP 35077       0.00   8.69427e-01
RP 35078       0.00   5.79618e-01
RP 35079     207.61   4.07940e-16
RP 35080       0.00   1.73885e+00
RP 35082       0.00   8.69427e-01
RP 35083       0.00   8.69427e-01
RP 35084       0.00   5.79618e-01
RP 35085       0.00   2.89809e-01
RP 35087       0.00   2.89809e-01
RP 36077       0.00   2.89809e-01
RP 36079       0.00   1.15924e+00
RP 36081     190.64   1.10273e+00
RP 36081       0.00   9.64632e-06
RP 36083      41.56   2.01797e+00
RP 36085     304.87   2.89383e-01
RP 36085       0.00   1.81130e-01
RP 36087       0.00   2.89809e-01
RP 37080       0.00   5.79618e-01
RP 37081       0.00   1.15924e+00
RP 37082       0.00   2.89809e-01
RP 37083      42.11   1.89416e-01
RP 37083       0.00   1.64640e+00
RP 37084       0.00   1.73808e+00
RP 37086       0.00   1.15923e+00
RP 37087       0.00   2.50564e-11
RP 37088       0.00   8.69427e-01
RP 37089       0.00   5.79618e-01
