# Cosima universal isotope store
# VN is followed by the volume name in which the isotope was produced
# RP is followed by the isotope ID (1000*Z+A), the excitation in keV, and a value (e.g. the number of produced isotopes, activation in Bq)

TT 0

VN AllArgon
RP 23049       0.00   9.28107e-01
RP 23050       0.00   0.00000e+00
RP 24049       0.00   1.15513e+00
RP 24050       0.00   0.00000e+00
RP 24051       0.00   3.46501e+00
RP 25052       0.00   2.88782e+00
RP 25053       0.00   1.07038e-06
RP 25054       0.00   9.62589e-01
RP 25056       0.00   5.77564e-01
RP 26053       0.00   2.31026e+00
RP 26055       0.00   3.86771e-01
RP 26059       0.00   2.30245e+00
RP 26061       0.00   5.77564e-01
RP 27056       0.00   1.10971e+00
RP 27057       0.00   3.15053e+00
RP 27058       0.00   1.12269e+00
RP 27060       0.00   4.26993e-01
RP 27061       0.00   5.77564e-01
RP 28056       0.00   5.77564e-01
RP 28059       0.00   3.68720e-05
RP 28063       0.00   3.94227e-03
RP 29060       0.00   1.15513e+00
RP 29061       0.00   1.73269e+00
RP 29062       0.00   2.88782e+00
RP 29064       0.00   5.19808e+00
RP 29066       0.00   1.15513e+00
RP 30062       0.00   1.15513e+00
RP 30063       0.00   2.31026e+00
RP 30065       0.00   6.34072e+00
RP 30067      93.31   1.25760e+00
RP 30069       0.00   1.73269e+00
RP 30070       0.00   0.00000e+00
RP 31064       0.00   1.73269e+00
RP 31065       0.00   5.77564e-01
RP 31066       0.00   5.19806e+00
RP 31067       0.00   1.73269e+00
RP 31068       0.00   9.50907e+00
RP 31070       0.00   1.73269e+00
RP 32066       0.00   2.88782e+00
RP 32067       0.00   5.77564e-01
RP 32068       0.00   3.15622e+00
RP 32069       0.00   4.04295e+00
RP 32071     198.35   1.21273e-01
RP 32071       0.00   8.66346e+00
RP 32073      66.73   1.19872e+01
RP 32075       0.00   5.77564e-01
RP 33070       0.00   1.15513e+00
RP 33071       0.00   2.88782e+00
RP 33072       0.00   1.15513e+01
RP 33073     427.91   9.63123e+00
RP 33073       0.00   1.21638e+01
RP 33074       0.00   2.31025e+00
RP 33075     303.92   8.95308e-01
RP 33076       0.00   5.77564e-01
RP 33077       0.00   5.77564e-01
RP 34071       0.00   1.15513e+00
RP 34072       0.00   5.77564e+00
RP 34073      25.71   1.16144e+00
RP 34073       0.00   9.82490e+00
RP 34075       0.00   1.37097e+01
RP 34077     161.92   3.32224e-01
RP 34081       0.00   5.77564e-01
RP 35073       0.00   1.16144e+00
RP 35074       0.00   1.73269e+00
RP 35075       0.00   1.03961e+01
RP 35076     102.58   3.46204e-02
RP 35076       0.00   8.08591e+00
RP 35077     105.86   7.34101e-01
RP 35077       0.00   1.55942e+01
RP 35078       0.00   4.04295e+00
RP 35079     207.61   5.58171e-15
RP 35080       0.00   1.15513e+00
RP 36074       0.00   5.77564e-01
RP 36075       0.00   2.88782e+00
RP 36076       0.00   4.04295e+00
RP 36077       0.00   8.08590e+00
RP 36079     129.77   3.30593e+00
RP 36079       0.00   1.79044e+01
RP 36081     190.64   1.64707e+01
RP 36081       0.00   6.28194e-05
RP 36083      41.56   1.27803e+01
